LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Engelmann spruce,Taiga Plains,Engelmann spruce,0,0.0001,0.1534,1.947,6.9356,14.8634,24.7063,35.5175,46.6304,57.6266,68.2631,78.4104,88.0097,97.0444,105.5232,113.4684,120.9097,127.8798,134.412,140.539,146.2917
White spruce,Taiga Plains,White spruce,0,0.0001,0.1534,1.947,6.9356,14.8634,24.7063,35.5175,46.6304,57.6266,68.2631,78.4104,88.0097,97.0444,105.5232,113.4684,120.9097,127.8798,134.412,140.539,146.2917
Black spruce,Taiga Plains,Black spruce,0,0.0001,0.1534,1.947,6.9356,14.8634,24.7063,35.5175,46.6304,57.6266,68.2631,78.4104,88.0097,97.0444,105.5232,113.4684,120.9097,127.8798,134.412,140.539,146.2917
Red spruce,Taiga Plains,Red spruce,0,0.0001,0.1534,1.947,6.9356,14.8634,24.7063,35.5175,46.6304,57.6266,68.2631,78.4104,88.0097,97.0444,105.5232,113.4684,120.9097,127.8798,134.412,140.539,146.2917
Sitka spruce,Taiga Plains,Sitka spruce,0,0.0001,0.1534,1.947,6.9356,14.8634,24.7063,35.5175,46.6304,57.6266,68.2631,78.4104,88.0097,97.0444,105.5232,113.4684,120.9097,127.8798,134.412,140.539,146.2917
Whitebark pine,Taiga Plains,Whitebark pine,0,0.0,0.0792,1.1889,4.6074,10.3859,17.8555,26.2945,35.1506,44.0541,52.7752,61.1801,69.198,76.7979,83.973,90.7315,97.0899,103.0693,108.6928,113.9839,118.9658
Jack pine,Taiga Plains,Jack pine,0,0.0,0.0792,1.1889,4.6074,10.3859,17.8555,26.2945,35.1506,44.0541,52.7752,61.1801,69.198,76.7979,83.973,90.7315,97.0899,103.0693,108.6928,113.9839,118.9658
Lodgepole pine,Taiga Plains,Lodgepole pine,0,0.0,0.0792,1.1889,4.6074,10.3859,17.8555,26.2945,35.1506,44.0541,52.7752,61.1801,69.198,76.7979,83.973,90.7315,97.0899,103.0693,108.6928,113.9839,118.9658
Ponderosa pine,Taiga Plains,Ponderosa pine,0,0.0,0.0792,1.1889,4.6074,10.3859,17.8555,26.2945,35.1506,44.0541,52.7752,61.1801,69.198,76.7979,83.973,90.7315,97.0899,103.0693,108.6928,113.9839,118.9658
Red pine,Taiga Plains,Red pine,0,0.0,0.0792,1.1889,4.6074,10.3859,17.8555,26.2945,35.1506,44.0541,52.7752,61.1801,69.198,76.7979,83.973,90.7315,97.0899,103.0693,108.6928,113.9839,118.9658
Eastern white pine,Taiga Plains,Eastern white pine,0,0.0,0.0792,1.1889,4.6074,10.3859,17.8555,26.2945,35.1506,44.0541,52.7752,61.1801,69.198,76.7979,83.973,90.7315,97.0899,103.0693,108.6928,113.9839,118.9658
Balsam poplar,Taiga Plains,Balsam poplar,0,0.0037,1.6222,12.3672,34.1467,62.8051,94.2813,126.0224,156.6623,185.557,212.4651,237.3587,260.3174,281.4701,300.9638,318.9471,335.5618,350.9392,365.1985,378.4473,390.7817
Largetooth aspen,Taiga Plains,Largetooth aspen,0,0.0037,1.6222,12.3672,34.1467,62.8051,94.2813,126.0224,156.6623,185.557,212.4651,237.3587,260.3174,281.4701,300.9638,318.9471,335.5618,350.9392,365.1985,378.4473,390.7817
Trembling aspen,Taiga Plains,Trembling aspen,0,0.0037,1.6222,12.3672,34.1467,62.8051,94.2813,126.0224,156.6623,185.557,212.4651,237.3587,260.3174,281.4701,300.9638,318.9471,335.5618,350.9392,365.1985,378.4473,390.7817
Douglas-fir - Genus type,Taiga Plains,Douglas-fir - Genus type,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
